ID,storySignifier,domain,outcomeXexpect,emotion,rating,model,study
81,G2D2GL,social2,GL,Anger,0,Human,2
81,G2D2GL,social2,GL,Hate,0,Human,2
81,G2D2GL,social2,GL,Contempt,0,Human,2
81,G2D2GL,social2,GL,Disgust,0,Human,2
81,G2D2GL,social2,GL,Fear,2,Human,2
81,G2D2GL,social2,GL,Disappointment,1,Human,2
81,G2D2GL,social2,GL,Shame,1,Human,2
81,G2D2GL,social2,GL,Regret,2,Human,2
81,G2D2GL,social2,GL,Guilt,2,Human,2
81,G2D2GL,social2,GL,Sadness,2,Human,2
81,G2D2GL,social2,GL,Compassion,0,Human,2
81,G2D2GL,social2,GL,Relief,4,Human,2
81,G2D2GL,social2,GL,Admiration,1,Human,2
81,G2D2GL,social2,GL,Love,0,Human,2
81,G2D2GL,social2,GL,Contentment,4,Human,2
81,G2D2GL,social2,GL,Pleasure,4,Human,2
81,G2D2GL,social2,GL,Joy,4,Human,2
81,G2D2GL,social2,GL,Pride,4,Human,2
81,G2D2GL,social2,GL,Amusement,0,Human,2
81,G2D2GL,social2,GL,Interest,4,Human,2
81,G2D1GH,social1,GH,Anger,0,Human,2
81,G2D1GH,social1,GH,Hate,0,Human,2
81,G2D1GH,social1,GH,Contempt,0,Human,2
81,G2D1GH,social1,GH,Disgust,0,Human,2
81,G2D1GH,social1,GH,Fear,0,Human,2
81,G2D1GH,social1,GH,Disappointment,0,Human,2
81,G2D1GH,social1,GH,Shame,0,Human,2
81,G2D1GH,social1,GH,Regret,0,Human,2
81,G2D1GH,social1,GH,Guilt,0,Human,2
81,G2D1GH,social1,GH,Sadness,0,Human,2
81,G2D1GH,social1,GH,Compassion,0,Human,2
81,G2D1GH,social1,GH,Relief,3,Human,2
81,G2D1GH,social1,GH,Admiration,0,Human,2
81,G2D1GH,social1,GH,Love,2,Human,2
81,G2D1GH,social1,GH,Contentment,5,Human,2
81,G2D1GH,social1,GH,Pleasure,4,Human,2
81,G2D1GH,social1,GH,Joy,3,Human,2
81,G2D1GH,social1,GH,Pride,4,Human,2
81,G2D1GH,social1,GH,Amusement,0,Human,2
81,G2D1GH,social1,GH,Interest,2,Human,2
81,G2D2BL,social2,BL,Anger,2,Human,2
81,G2D2BL,social2,BL,Hate,0,Human,2
81,G2D2BL,social2,BL,Contempt,2,Human,2
81,G2D2BL,social2,BL,Disgust,1,Human,2
81,G2D2BL,social2,BL,Fear,3,Human,2
81,G2D2BL,social2,BL,Disappointment,6,Human,2
81,G2D2BL,social2,BL,Shame,3,Human,2
81,G2D2BL,social2,BL,Regret,6,Human,2
81,G2D2BL,social2,BL,Guilt,4,Human,2
81,G2D2BL,social2,BL,Sadness,2,Human,2
81,G2D2BL,social2,BL,Compassion,0,Human,2
81,G2D2BL,social2,BL,Relief,0,Human,2
81,G2D2BL,social2,BL,Admiration,0,Human,2
81,G2D2BL,social2,BL,Love,0,Human,2
81,G2D2BL,social2,BL,Contentment,0,Human,2
81,G2D2BL,social2,BL,Pleasure,0,Human,2
81,G2D2BL,social2,BL,Joy,0,Human,2
81,G2D2BL,social2,BL,Pride,0,Human,2
81,G2D2BL,social2,BL,Amusement,0,Human,2
81,G2D2BL,social2,BL,Interest,1,Human,2
81,G2D1BH,social1,BH,Anger,3,Human,2
81,G2D1BH,social1,BH,Hate,1,Human,2
81,G2D1BH,social1,BH,Contempt,3,Human,2
81,G2D1BH,social1,BH,Disgust,2,Human,2
81,G2D1BH,social1,BH,Fear,1,Human,2
81,G2D1BH,social1,BH,Disappointment,6,Human,2
81,G2D1BH,social1,BH,Shame,1,Human,2
81,G2D1BH,social1,BH,Regret,3,Human,2
81,G2D1BH,social1,BH,Guilt,0,Human,2
81,G2D1BH,social1,BH,Sadness,4,Human,2
81,G2D1BH,social1,BH,Compassion,0,Human,2
81,G2D1BH,social1,BH,Relief,0,Human,2
81,G2D1BH,social1,BH,Admiration,0,Human,2
81,G2D1BH,social1,BH,Love,0,Human,2
81,G2D1BH,social1,BH,Contentment,0,Human,2
81,G2D1BH,social1,BH,Pleasure,0,Human,2
81,G2D1BH,social1,BH,Joy,0,Human,2
81,G2D1BH,social1,BH,Pride,0,Human,2
81,G2D1BH,social1,BH,Amusement,0,Human,2
81,G2D1BH,social1,BH,Interest,0,Human,2
82,G3D1GL,social1,GL,Anger,0,Human,2
82,G3D1GL,social1,GL,Hate,0,Human,2
82,G3D1GL,social1,GL,Contempt,0,Human,2
82,G3D1GL,social1,GL,Disgust,0,Human,2
82,G3D1GL,social1,GL,Fear,0,Human,2
82,G3D1GL,social1,GL,Disappointment,0,Human,2
82,G3D1GL,social1,GL,Shame,0,Human,2
82,G3D1GL,social1,GL,Regret,0,Human,2
82,G3D1GL,social1,GL,Guilt,0,Human,2
82,G3D1GL,social1,GL,Sadness,0,Human,2
82,G3D1GL,social1,GL,Compassion,2,Human,2
82,G3D1GL,social1,GL,Relief,1,Human,2
82,G3D1GL,social1,GL,Admiration,4,Human,2
82,G3D1GL,social1,GL,Love,4,Human,2
82,G3D1GL,social1,GL,Contentment,6,Human,2
82,G3D1GL,social1,GL,Pleasure,5,Human,2
